smiles,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-],0,0,0,0,0,0,0,0,0,0,0,0
CCCCOCCOC(=O)c1ccccc1C(=O)OCCOCCCC,0,0,1,,0,0,0,0,0,1,0,0
C1=CCC(c2ccccc2)CC1,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(-c2ccccc2)cc1,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1,,,,,,,,,,0,,
CCC12COCN1COC2,0,0,0,0,0,0,0,0,0,0,0,0
COC(=O)c1cc(S(N)(=O)=O)ccc1OC,,,,,,,,0,,0,,
CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)CN12,,,,,,,,,,0,,
CCCCC(CC)CNC(=O)CC(C)OC(=O)CCC(=O)O,,,,,,,,0,,0,,
COC(=O)Nc1nc2cc(C(=O)C3CC3)ccc2[nH]1,,,,,,,,0,,0,,
O=C1Nc2cc(Cl)ccc2Oc2ccccc21,,,,,,,,1,,0,,
Nc1c(I)cc(I)c(C(=O)N(CCC(=O)O)c2ccccc2)c1I,,,,,,,,0,,0,,
CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,,,,,,,,0,,0,,
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,0,0,,0,,0,0,0,0,0,,0
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,0,0,0,0,1,1,0,,0,,1,1
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0,0,0,0,,0,,,,0,0,0
CCCCOC(=O)C(=O)Nc1cccc(-c2nnn[nH]2)c1,0,0,0,0,0,0,0,,0,,0,0
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,0,0,1,0,,0,,0,0,0,1,
O=C([O-])c1ccccc1O.O=C([O-])c1ccccc1O.[Zn+2],0,0,0,0,0,0,0,,0,,0,0
CC(=O)NC(CCC(N)=O)C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
CCC(CN)CC(C)CCNCC(O)CNCC(C)CC(CC)CN,0,0,0,0,0,0,0,,0,,0,0
c1ccc(-c2nnn[nH]2)cc1,0,0,0,0,0,0,0,0,0,0,0,0
O=C(Nc1ccc(Cl)c(Cl)c1)C1CC1,0,0,1,0,,0,0,1,0,0,,
OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1,1,0,,1,0,0,,0,,0,0
O=P([O-])([O-])OC(CO)CO,0,0,0,0,0,0,0,,0,,0,0
COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,0,0,0,0,0,0,0,,0,,0,0
CCCCCCCCP(=O)(O)O,0,0,,0,0,0,0,0,0,0,0,0
c1cc(CCCc2ccncc2)ccn1,0,0,,1,0,0,0,0,0,0,0,0
C=CC(=O)OCC(O)COc1ccccc1,0,,0,,0,0,1,,0,,,
C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCCC1,,,,,,,,1,,0,,
CC(C(O)c1ccccc1)N(C)C/C=C/c1ccccc1,,,,,,,,,,0,,
Clc1ccc2c(c1)Nc1ccccc1S2,,,,,,,,,,0,,
Cc1c(F)cc2c(=O)c(C(=O)O)cn3c2c1CCC3C,,,,,,,,0,,0,,
COCCOCC(OC)OC,,,,,,,,0,,0,,
c1ccc(N2CCNCC2)cc1,,,,,,,,0,,0,,
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(C(C)=O)[C@@]4(C)CC[C@@H]32)C1,,,,,,,,1,,0,,
CN(C)C(=O)CNC(=O)Cc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
CCOC(=O)c1ccc(NC(=O)CN2CCCCC2)cc1,0,0,0,,,0,0,0,0,0,0,0
CC(C(O)c1ccccc1)N(C)CCOC(c1ccccc1)c1ccccc1,0,0,0,,,0,,0,0,0,,0
CC(=O)O[C@@H]1C(=O)O[C@H]2[C@@H](OC(C)=O)C(=O)O[C@@H]12,0,0,0,0,,0,0,1,0,0,0,0
N[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4C[C@H]4F)c3c2Cl)CC12CC2,0,0,0,,0,0,0,0,0,0,0,0
O=C1NC2CCCCN2C12CCN(CCCN1c3ccccc3CCc3ccc(Cl)cc31)CC2,0,0,1,,,0,,,0,0,0,0
CO[C@]1(NC(=O)CSC(F)F)C(=O)N2C(C(=O)O)=C(CSc3nnnn3CCO)CO[C@H]21,0,0,0,0,0,0,0,,0,0,0,0
CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,0,0,0,0,0,0,0,0,0,0,0,0
C=CCOc1cc(Cl)ccc1C(=O)NCCN(CC)CC,0,0,0,0,1,0,0,0,0,0,,0
Cc1ccc2c(n1)Oc1ccc(C(C)C(=O)OCC(=O)N(C)C)cc1C2,1,0,,,0,0,0,0,1,0,0,0
O=[N+]([O-])c1ccc(Cl)c(Cl)c1Cl,0,0,0,,0,,0,1,0,0,0,0
O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,0,0,0,0,0,0,0,1,0,0,0,0
C=CC1CC2C=CC1C2,0,0,0,0,0,0,0,0,0,0,,0
Oc1ccc(Cl)c(Cl)c1Cl,0,0,,0,0,,0,,0,0,1,
O=[N+]([O-])c1c(Cl)cc(Cl)cc1Cl,0,0,,,0,0,0,0,0,0,0,0
O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1,0,0,0,,0,0,0,,0,0,0,
Oc1cc(Cl)cc(Cl)c1Cl,0,0,1,0,,0,,1,0,0,1,
Oc1c(Cl)ccc(Cl)c1Cl,0,0,0,0,0,0,0,1,0,0,1,0
C=C(Cl)CCl,0,0,0,0,0,0,0,0,0,0,0,0
Clc1nc2ccccc2nc1Cl,0,,0,,0,0,1,0,0,0,,0
OC(CCl)CCl,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)c1cccc(C(=O)O)n1,0,0,0,0,0,0,0,,0,0,0,0
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,0,0,0,,1,1,0,0,0,0,1,0
ClC(Cl)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)C1=CC2=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1,0,0,0,0,0,0,0,,0,,0,0
O=c1cc(-c2ccccc2)oc2ccccc12,0,0,1,,1,,0,1,1,0,,0
Cc1cc(C)c(O)c(C)c1,0,0,0,0,0,0,0,0,0,0,0,0
C1CCC(NC2CCCCC2)CC1,0,0,0,0,0,0,0,0,0,0,0,0
Cl[Ba]Cl,0,0,0,0,0,0,0,0,0,0,1,0
O=C(O)c1nc(Cl)c(Cl)c(Cl)c1Cl,0,,0,0,0,0,0,1,0,0,0,0
C[N+]1([O-])[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,0,0,0,0,0,0,0,,0,,0,0
O=C(O)CP(=O)(O)O,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,0,0,0,0,0,0,0,0,0,0,,
CNCCC=C1c2ccccc2CCc2ccccc21,0,0,0,,0,0,,,0,,,0
Cc1cc(C(=O)O)c(C)n1-c1cccc(C(=O)O)c1.O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,0,0,0,0,,0,0,,0,,0,0
O=C([O-])CC(O)(CC(=O)O)C(=O)[O-],0,0,0,0,0,0,0,0,0,0,0,0
Nc1ccc(-c2ccccc2)cc1,0,0,1,,1,0,0,1,0,0,0,0
NCCCCCC(=O)O,,,,,,,,0,,0,,
NCC1(CC(=O)O)CCCCC1,0,0,0,0,0,0,0,0,0,0,0,0
Nc1nc[nH]n1,0,0,0,0,1,0,0,0,0,0,0,0
CC1CCCCC1NC(=O)Nc1ccccc1,0,0,,,,0,0,0,0,0,1,0
CCNP(=S)(OC)O/C(C)=C/C(=O)OC(C)C,0,0,1,0,0,0,0,0,0,0,,0
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,0,,0,0,0,0,0,,0,1,0,0
Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0,,0,0,,0,0,1,0,0,0,0
Cc1cc(O)ccc1O,0,0,1,,0,0,,1,,0,0,
Cc1cccc2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0
Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,0,,0,,,,,,,1,1,
O=C1CCCCCO1,0,0,0,0,0,0,0,0,0,0,0,0
O=C(Cl)OCc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc2ccccc2c1,0,0,0,0,0,0,0,,0,0,0,0
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,0,0,1,1,0,0,0,,0,,0,
CN1CCN2c3ccccc3Cc3ccccc3C2C1,0,,0,0,,0,0,0,0,0,,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,1,0,0,,1,0,0,,0,,0,0
C[C@](N)(Cc1ccc(O)cc1)C(=O)O,,,,,,,,0,,0,,
CC(C)(C(=O)c1cccnc1)c1cccnc1,0,0,0,0,0,0,0,0,0,0,0,0
CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,0,0,0,0,0,0,0,1,0,0,,0
CC(=O)Nc1c(I)c(C(=O)N[C@H]2C(O)O[C@H](CO)[C@@H](O)[C@@H]2O)c(I)c(N(C)C(C)=O)c1I,0,0,0,0,0,0,0,,0,,0,0
c1ccc2[nH]cnc2c1,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccccc1O,0,0,0,0,0,0,0,0,0,0,0,0
CCN(CCO)c1cccc(C)c1,0,0,0,0,0,0,0,0,0,0,0,0
CCN(CC)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)CC(=O)c1ccccc1,0,0,0,0,1,0,,0,0,0,0,0
C1CCC(C2CCCCC2)CC1,0,0,0,0,0,0,0,0,0,0,,0
O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,0,0,1,,1,0,0,1,1,0,,0
CC(C)=CCCC(C)=CC=O,0,0,0,0,0,0,0,0,0,0,0,0
O=CC=Cc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
O=C/C=C/c1ccccc1,1,1,0,0,0,0,0,0,0,0,0,0
BrCCc1ccccc1,0,0,,0,0,0,0,,0,0,,0
CC(C)SCc1ccco1,0,0,0,0,0,0,0,0,0,0,0,0
ClC(Cl)Cl,0,0,0,0,,0,0,0,0,0,0,0
COC(=O)CCSCCC(=O)OC,0,0,0,0,1,0,0,0,0,0,0,0
CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,,0,0,0,0,0,0,0,0,0,1,0
ClC(Br)Br,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(CCl)C(=O)Cl,0,0,,,,0,0,0,0,,,0
ClCc1ccccn1,0,0,0,0,0,0,0,0,0,0,0,0
ClCc1cccnc1,0,0,0,0,0,0,0,0,0,0,0,0
C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O,0,0,0,0,0,,,,0,0,,
CC(C)(C)C(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,1,0,0,,0,0,,0,,0,0
C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,0,0,0,0,1,1,0,0,0,0,0,0
C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,0,0,0,0,0,0,0,0,0,0,0,0
COc1cccc(-c2ccc(/C=C\CN3CCCCCC3)cc2Cl)c1,0,0,0,,,0,0,,0,0,,
COc1cc(C)ccc1C(C)C,0,0,0,0,0,0,0,0,0,0,0,0
CCCC1CCC(=O)O1,0,0,0,,0,0,0,0,0,0,0,0
O=CCCc1ccccc1,0,0,0,0,1,0,0,0,0,0,,0
CC(C)c1ccc(C(=O)N=C(N)N)cc1S(C)(=O)=O,0,0,0,0,,0,0,0,0,0,0,0
O=C(N[C@@H](c1ccccc1)[C@@H]1CCCCN1)c1cccc(C(F)(F)F)c1Cl,0,0,0,,,0,,,0,0,,0
CC1CCC(=O)O1,0,0,0,0,0,0,0,0,0,0,0,0
N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,0,0,0,0,0,0,0,0,0,0,0,0
CC1CC(O)CC(C)(C)C1,0,0,0,0,0,0,0,0,0,0,0,0
NC(=O)NC(N)=O,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)CC(C)O,0,0,0,0,0,0,0,0,0,0,0,0
CC1COC(=O)O1,0,0,0,0,0,0,0,0,0,0,0,0
CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O,0,0,0,0,0,0,0,,0,,,0
CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,,,,,,,,1,,,,
NS(=O)(=O)c1cc2c(cc1Cl)NC(CC1CCCC1)NS2(=O)=O,0,0,0,0,0,0,0,0,0,0,0,0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0,0,0,,1,0,0,,0,0,0,0
CC(C)NCC(O)c1ccccc1Cl,0,0,0,0,0,0,0,0,0,0,0,0
CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12.O=C(O)CC(O)(CC(=O)O)C(=O)O,0,0,0,0,0,0,0,1,0,0,0,0
C[C@H]1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0,0,,0,0,0,0,0,0,0,0,0
CNC1CCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1,0,0,,0,0,0,0,0,0,0,0,0
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,,,,,,,,,,0,,
COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,0,0,0,0,0,0,0,0,0,0,0,0
CCC(C)(C)c1ccc(CC(C)CN2C[C@H](C)O[C@H](C)C2)cc1,0,0,0,,,0,0,,0,0,1,
CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,0,0,0,1,0,0,0,,0,,,
C=COCCCCO,0,0,0,0,0,0,0,0,0,0,0,0
NCC(=O)O,,,,,,,,0,,0,,
OCC1CO1,0,0,0,0,0,0,0,0,0,0,0,0
CCCCOC(=O)c1ccccc1,0,0,0,0,1,0,0,0,0,0,0,0
Cc1c(Cl)cccc1Cl,0,0,0,0,0,0,0,0,0,0,,0
CCC1COC(=O)O1,0,0,0,0,0,0,0,0,0,0,0,0
Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)COP(=O)(OCC(C)C)OCC(C)C,0,0,0,,0,0,0,0,0,0,,0
O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0,0,0,0,,0,1,0,0,0,0,0
N=C(N)NCCN1CCCCCCC1,,,,,,,,0,,0,,
CCOc1ccccc1O,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)c1ccc(O)c(C(C)C)c1,0,0,0,,0,0,0,,0,0,1,
CC(C)C(=O)OCCOc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,0,0,0,0,0,0,0,0,0,0,0,1
O=C1c2ccccc2-c2n[nH]c3cccc1c23,0,0,,,0,,0,,0,,1,1
Cc1ccccc1C,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,,0,0,,0,0,,0,0,0,0,0
c1ccc(C(O[C@H]2CCCN(CCc3ccc4c(c3)OCO4)C2)c2ccccc2)cc1,0,0,,0,0,0,,0,0,0,,0
OC[C@H]1O[C@@H](OCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,,,,,,,,0,,0,,
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,0,0,,0,0,0,1,,0,0,,0
C[C@@H](C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1,0,0,,0,0,0,0,0,0,0,0,0
CC1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1,0,0,0,0,0,0,0,0,0,0,0,0
FC(F)(F)C(=NOCC1OCCO1)c1ccc(Cl)cc1,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0,0,0,0,,0,0,1,0,0,,0
CC1CC(=O)CC(C)(C)C1,0,0,0,0,0,0,0,0,0,0,,0
CCn1c2ccccc2c2cc([N+](=O)[O-])ccc21,0,1,,0,0,0,,0,0,1,,1
CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,0,0,1,,1,0,0,1,1,0,1,0
CC(C)(C1CCC(O)CC1)C1CCC(O)CC1,0,0,0,0,1,,0,0,0,0,,0
CCC(C)(C)c1cc(O)c(C(C)(C)CC)cc1O,0,,0,,0,0,,1,0,,1,
C=C(C)C(=O)OC1CC(C)CC(C)(C)C1,0,0,0,0,0,0,0,0,0,0,,0
CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,0,0,0,0,1,0,0,0,0,0,0,0
C=CCc1ccc2c(c1)OCO2,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NS(=O)(=O)c2ccccc21,0,0,0,0,0,0,0,0,0,0,0,0
O=C1[N-]S(=O)(=O)c2ccccc21,0,0,0,0,1,0,0,0,0,0,0,0
C=CCCCCCCCCCCCC,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,0,0,,0,0,0,0,,0,,0,0
NC(=O)[O-],0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(CO)COC(=O)C(C)(C)CO,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,,,,,,,,,,1,,
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,,,,,,,,,,0,,
O=C(O)C[C@H](NC(=O)OCc1ccccc1)C(=O)O,0,0,0,0,0,0,0,1,0,0,0,0
CC(=O)C=CC1=C(C)CCCC1(C)C,0,0,0,0,0,0,0,0,0,0,0,0
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,0,0,0,,,0,0,0,0,0,,0
O=C(Nc1ccccc1)c1ccccc1O,0,,1,,,,,1,0,,1,
CCOC(=O)c1ccccc1C(=O)OCC,0,0,0,0,0,0,0,0,0,0,0,0
CCCCOC(=O)c1ccccc1C(=O)OCCCC,0,0,0,0,1,0,0,0,0,0,0,0
O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,0,,,,,,,,0,0,,1
NC(=O)c1ccccc1N,0,0,0,0,0,0,0,0,0,0,0,0
Nc1ccc(/N=N\c2ccccc2)c(N)c1,0,,1,,1,0,,1,1,0,1,0
CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)N1C,0,0,0,0,1,,0,0,0,0,0,0
c1ccc2c(c1)[nH]c1cnccc12,0,0,1,0,0,0,0,0,0,,0,
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,1,1,0,,1,1,,,,,0,0
O=C(OOC(=O)c1ccccc1)c1ccccc1,,,,,,,,0,,0,,
NC(=O)N=NC(N)=O,0,0,0,0,0,0,0,0,0,0,,0
COc1ccc(N=[N+]([O-])c2ccc(OC)cc2)cc1,1,0,1,,1,0,0,1,1,0,,0
[O-][N+](=Nc1ccccc1)c1ccccc1,0,0,1,,1,0,0,1,0,0,1,0
CC[C@@H](C)CCCCC(=O)N[C@@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H](C(=O)N[C@@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC1=O)[C@@H](C)O,0,0,0,0,0,0,,,0,,0,0
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0,0,0,0,0,0,0,0,0,0,0,0
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0,0,0,0,0,0,0,0,0,0,,0
CCOC(=O)CC(C)=O,0,0,0,0,0,0,0,0,0,0,0,0
C1CCCNCCC1,0,0,0,0,0,0,0,0,0,0,0,0
CCCCC(CC)COC(=O)/C=C\C(=O)OCC(CC)CCCC,0,0,0,0,0,0,0,1,0,0,0,0
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,0,0,0,,0,0,0,0,0,0,,0
CC(C)(O)C#CC(C)(C)O,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)[O-].CC(=O)[O-].[Mg+2],0,0,0,0,1,,0,0,0,0,0,0
O=C(O)CNCC(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCC/C=C\CCCCCCCC(=O)OCCCC,0,0,0,0,0,0,0,,0,0,,0
ClC(Cl)(Cl)C(Cl)(Cl)Cl,,,,0,0,0,0,0,0,0,0,0
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,0,0,0,1,0,0,,,,1,,
CN1CCN(C2=Nc3cc(F)ccc3Cc3ccccc32)CC1,0,0,0,0,,0,0,0,0,0,,0
C=CCCC(=O)O,0,0,0,0,,0,0,0,0,0,0,0
CN=C=O,0,0,0,0,0,0,0,0,0,0,,0
[Na]I,0,0,0,0,0,0,0,0,0,0,0,0
C[N+](C)(C)Cc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
COc1cccc(C=O)c1,0,0,0,0,0,0,0,0,0,0,0,0
C[N+](C)(C)CC(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccccc1CCl,0,0,0,0,0,0,0,0,0,0,0,0
CCC(C)c1cccc(C(C)CC)c1O,0,0,0,,0,0,0,0,0,0,1,0
CCCC[N+](C)(CCCC)CCCC,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0,0,0,0,0,0,1,0,0,0,1,0
CN1[C@H]2CC[C@@H]1C[C@H](O)C2,0,0,0,0,0,0,0,,0,0,0,0
O=C1c2ccccc2CCc2ccccc21,0,0,0,,1,,0,0,0,0,,0
N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,0,0,0,0,0,0,0,,0,0,,0
BrCCCCCBr,0,0,0,0,0,0,0,0,0,0,0,0
NCCc1ccc(O)cc1,0,0,0,0,1,0,0,0,0,0,0,0
CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,1,,0,,,0,0,,0,,1,0
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,0,0,0,0,,0,0,,0,0,0,0
CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,0,,0,,,0,,,,,1,
NCC(O)c1ccc(O)cc1,0,0,0,0,0,0,0,0,0,0,0,0
O=CNNC=O,0,0,0,0,0,0,0,0,0,0,0,0
CCNC(=S)NCC,0,0,0,0,1,0,0,0,0,0,0,0
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,0,0,0,,1,1,0,1,0,1,1,1
CCOC(=O)/C=C\C(=O)OCC,0,0,0,0,0,0,0,1,0,0,0,0
CCN(C=O)CC,0,0,0,0,0,0,0,0,0,0,0,0
OCCOCCO,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C)S,0,0,0,0,0,0,0,0,0,0,0,0
CCCOC(=O)c1ccc(O)cc1,0,0,,,1,1,0,,0,0,1,0
O=C(OCc1ccccc1)c1ccc(O)cc1,0,0,0,,1,1,0,0,1,1,,0
CCCCC(CC)COC(=O)c1ccc(O)cc1,0,0,0,,1,1,0,0,0,,1,
CC(=O)c1ccc(Cl)c(Cl)c1Cl,0,0,,0,0,0,0,0,0,0,,
CCCCCCCOC(=O)c1ccc(O)cc1,0,0,0,,1,1,0,0,0,0,1,0
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,0,0,0,0,1,1,0,0,0,0,0,0
CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,0,0,0,0,0,0,0,0,0,0,0,0
CCOC(=O)C=Cc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
COC(=O)c1ccc(O)cc1,0,0,0,0,0,0,0,0,0,0,0,0
CCOC(=O)c1ccc(O)cc1,0,0,0,,1,0,0,0,0,0,0,0
NCCc1cnc[nH]1,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCC/C=C\CCCCCCCC(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
CN1C(=O)C(C)(C2=CCCCC2)C(=O)N=C1O,0,0,0,0,0,0,0,0,0,0,0,0
